,ATLaS_ID,variable,VT_PBIF,VT_AIF,VT_Rebalanced,VT_PRED_SLOPE
1232,1001,ctx-rh-precentral,2.93766923105811,2.84714987046315,0.0629014367370897,2.826088284511861
1254,1001,ctx-rh-precuneus,3.14459770920074,3.05544376673969,0.102644005569918,3.0251570365783143
1276,1001,ctx-rh-rostralanteriorcingulate,3.27187318869786,3.26899402311339,0.372992095751739,3.1475982351004785
1298,1001,ctx-rh-rostralmiddlefrontal,2.90559695336075,2.85974336142661,0.17437518291716,2.7952342022006698
1320,1001,ctx-rh-superiorfrontal,2.9084019884805,2.89665188989547,0.265738751942599,2.7979326941907687
1342,1001,ctx-rh-superiorparietal,2.81629480994648,2.82038765156367,0.162301211417623,2.709324005567006
1364,1001,ctx-rh-superiortemporal,3.00726525974901,2.90629744323634,0.214210160311249,2.893040860129457
1386,1001,ctx-rh-supramarginal,3.03121935722133,2.98224820306819,0.253400426579734,2.9160851135521595
1408,1001,ctx-rh-frontalpole,2.60891876778303,2.45747898201975,-0.055137253285783,2.509824689221077
1430,1001,ctx-rh-temporalpole,3.14787797931,3.08198165795117,1.68120040739014,3.0283127127952976
1452,1001,ctx-rh-transversetemporal,3.31125104096363,3.31912307614046,0.307975043822794,3.1854804056937445
1474,1001,ctx-rh-insula,3.26835011126133,3.19925677209195,0.506712594858692,3.144208974061985
1496,1001,Left-Cerebellum-Cortex,2.69066032166768,2.58824605964509,-0.118297940710903,2.588461468797516
1518,1001,Left-Thalamus-Proper,3.72828622742381,3.67082527245922,0.771850684369142,3.5866754218732297
1540,1001,Left-Caudate,2.85305716433573,2.81346990879404,0.184725542966418,2.744690022255383
1562,1001,Left-Putamen,3.27821887767292,3.1878609556628,0.184227724233441,3.15370289694599
1584,1001,Left-Pallidum,3.5463412650621,3.4228202949531,0.894372464633873,3.4116412413330415
1606,1001,Left-Hippocampus,2.87794864848827,2.85094644157242,0.237682447829618,2.768636057773571
1628,1001,Left-Amygdala,3.27728148353949,3.24186320124925,1.0510292643965,3.1528011076803883
1650,1001,Left-Accumbens-area,3.14991595237527,3.10063346680553,0.400289823522448,3.0302732779069235
1672,1001,Left-VentralDC,3.0336714620051,2.96704459661679,0.578160997754495,2.918444080493891
