,tts,1001,1002,1003,1004,1005,1007,1009,1013,1015,1020,1022,1023,PP,MM,FR,KT,JD,PP-r,MM-r,FR-r,KT-r,JD-r
10,150,4.973862788228647,0.5811250583487535,9.482436341776868,0.5065540441641403,1.6684287834137663,2.7833932272442485,0.2227847712296409,0.19283624737438387,0.8634179030226861,2.4517923294473682,0.5211929974329479,2.3789492013708795,0.6283121348949763,3.1945167088955557,8.938284975882134,8.479601123100757,1.0618025077588484,0.27675955140961506,0.3049393445507178,3.0402905842065238,4.684774754580587,0.627598029431347
11,165,4.423431081259892,0.718947205701923,8.644138534184998,0.6393886085204912,1.0952679078269405,2.7776345090818335,0.3404567711637192,0.26338495173865795,0.42457175310384976,1.9061723132037205,0.9026220296651211,2.2144587700826097,0.3831201165117868,3.0989606566939294,8.057347286113988,7.97444159845082,0.9782337318338747,0.4229081905007046,0.17636391743729618,3.037790453378401,3.975938221812889,0.6489986321141501
12,180,3.903664266118927,0.8458564941119242,7.8339102016957245,0.5634626265542675,0.6436554009483757,2.7221127373445295,0.6832661528675601,0.5516228971206978,0.13230358948726106,1.487663648002945,1.1042397277700715,1.9897127976023707,0.20957653919810149,2.981395613217982,7.262507900088028,7.532644825128589,0.9290913399927501,0.5129933729479461,0.5676225553543137,2.9981361912167195,3.4241752327682313,0.6934247799400808
13,195,3.458341002445005,0.9584643150940089,7.059182873352505,0.5894856215729405,0.2869268435999963,2.647987444770557,0.8918754782578127,0.7527611327296402,0.08111889157990326,1.168855143560064,1.215267349156754,1.7636785671884763,0.09125823431978297,2.8413629176444104,6.539435906652384,7.1370916421510415,0.8873625786019232,0.5615588149708639,0.8742142506839112,2.930415842850712,2.9942254081376376,0.7331776703784669
14,210,3.080314533216036,1.0446985231241328,6.329992880541539,0.6214607686236668,0.007946901039961318,2.561511861434715,1.0110811393491694,0.893094306295044,0.23878834431015328,0.9195917191733152,1.260692211552616,1.5526518820802266,0.006580537140061793,2.691629188244285,5.862564228915307,6.760364680423418,0.8506299941796662,0.586359903774504,1.1151429073235466,2.8317863661342226,2.646292320111039,0.7659505136107523
15,225,2.770289697813359,1.1106667365156362,5.700486962976008,0.6522250537274576,0.24690446296997592,2.4744518268437714,1.0806506465328294,0.9972067694477094,0.36154303652002007,0.699404928556234,1.2707264101517133,1.3720095904618113,0.04943477589850431,2.534034517466935,5.23586283204239,6.406158097867818,0.8090324189226639,0.5913764231520968,1.2938610273261943,2.716857712199639,2.368662601816906,0.7813488164495244
16,240,2.4985697947912975,1.1426110448090618,5.012621019080904,0.7364134202719086,0.46045189548542353,2.37721906787901,1.1056911754488397,1.0574079059687254,0.44440711589873416,0.5726102563307922,1.2309134012422405,1.2089262278752706,0.09653928869219719,2.383862512278667,4.519331167368414,6.046252278877546,0.7756330694545959,0.5924276764624965,1.4348236493250397,2.5754299818664386,2.126644811212296,0.7940412393229295
17,255,2.2712569361057646,1.1550711535218614,4.425613336933563,0.7325151015960198,0.6825525134240973,2.2813344104082836,1.1104943713770599,1.0930432946969564,0.5033708506455188,0.45079227079784623,1.168376181538136,1.0733316766277294,0.12991341890950814,2.2360722612960373,3.9613795364656603,5.69934513171269,0.7397124288157269,0.5854126994283613,1.5339050634925275,2.4270754546605975,1.8851427095906548,0.7932955584896835
18,270,2.0838917938563934,1.1535971246114354,3.922786405249992,0.7963190959062985,0.7859961250476601,2.1898422256746315,1.0635508722926108,1.111525247123799,0.5448972058353458,0.35948810778030627,1.0930130084631404,0.9648704019881365,0.15094732836605207,2.0909732246783497,3.5456276647302776,5.314870840632709,0.6995851978704621,0.5712477786752093,1.5953565758926072,2.238603415462153,1.7603640393313906,0.7783505254934262
19,285,1.9173508496111609,1.1312078894964879,3.381239124635931,0.7995205775278906,0.9167845362010691,2.0950502155361415,1.0844436807796427,1.105521512857056,0.5637658144992903,0.28424073883186995,0.9929820424683538,0.84830915883839,0.2172088285533258,1.9567456569454018,3.0508120918409514,5.0420405644592705,0.665142247573284,0.5986849723784822,1.6564767101028135,2.1264885092427015,1.6125004480513603,0.8171122280816281
20,300,1.7635460955317264,1.0760506838830182,2.9144431077615707,0.8400304845741067,1.0098758818103484,2.0129278021663257,1.0699971473930825,0.9956154112501139,0.49453532388483357,0.23787964929888883,0.9034045352733298,0.8061080129394114,0.21962468432504068,1.8211836560906143,2.6119461938478814,4.747447588862135,0.6718211138705987,0.5744567126970672,1.6392550853462673,1.99125615590307,1.5018381235304776,0.778782527027305
21,315,1.6590603554269912,1.0592667167875298,2.4958704042548048,0.8463788624707682,1.1101026142734831,1.9175137634407875,1.0322285483749507,0.9284640563186644,0.45887318676631583,0.18815833973792362,0.7310751796818025,0.7375959264071916,0.19055123938648677,1.727986665408463,2.177400359161867,4.43474843596567,0.6433159094263248,0.5247465424976321,1.644010646457943,1.8407868104345644,1.3830337045627932,0.702430586340224
22,330,1.5659730110354477,1.019199741617415,2.1024046825115663,1.022941051612336,1.1708236961121141,1.8392478857343182,1.0088162760114825,0.9372003190869975,0.48279326156559854,0.16549637062741063,0.6716311572554421,0.6976670664578997,0.18979766088698735,1.5877761825094616,1.8044930520779499,4.164158821430055,0.5523606727125241,0.5023368118731577,1.616321039330547,1.7174486685614454,1.3010829755921627,0.8981161207424835
23,345,1.4824115218663394,0.9707335359532454,1.7433297750746828,1.1622522604183327,1.221183782150801,1.7613594115481233,0.9803948234512943,0.9925579207505715,0.543317496281154,0.14908449010404823,0.5612347251319338,0.6646636000444692,0.18964797521258703,1.478964249940736,1.4591760173375992,3.9024150156977155,0.5161922379856527,0.4823268839837471,1.5798564565135464,1.599237527777852,1.2267166718804106,1.0523408149501057
24,360,1.416027558364041,0.9231725937381459,1.4119976316276412,1.2619845418844502,1.2524719946906657,1.6903648600609262,0.9554143920832825,0.9537271995297969,0.5249731196956757,0.14419669760310505,0.45874340382716916,0.6441433597722552,0.18431316352502503,1.3746061997538197,1.1523310114252823,3.662223714678724,0.47783841161141005,0.4598819912134555,1.5294653945388923,1.4952709832826194,1.1681312975975402,1.1625136327579293
25,375,1.3556121221445343,0.8705774666715111,1.110375608642443,1.332586929524859,1.2758378044501342,1.6203195316737045,0.9272413032275324,0.9084640315856989,0.5001108096412024,0.14289026864658094,0.35368234254791453,0.627627783067422,0.18015670250021465,1.2794635811700807,0.8706925959733116,3.4315558538839532,0.4440453346436062,0.44001326528709495,1.4746659343281694,1.3975219353588502,1.114165311232866,1.2402644884612783
26,390,1.2999778598774228,0.8143243100204014,0.8362420947661908,1.3773076157674726,1.292190984842522,1.5514997444525966,0.8966513849662681,0.8583650504877625,0.4701778783145487,0.14449328965100516,0.24775324544643595,0.6140974228979008,0.17724121112856395,1.193030015171444,0.612995978541413,3.210621505252857,0.41457012842272967,0.422644288927426,1.4170195253917939,1.3061769336621971,1.063868749705021,1.2892086637510483
