,ID,Regions,VT_PBIF,VT_AIF,VT_PRED_SLOPE
0,1001,ctx-lh-bankssts,3.273644471528864,3.2510069428585453,3.1493022396236334
1,1001,ctx-lh-caudalanteriorcingulate,2.7575443681984706,2.71904009826775,2.652805070971315
2,1001,ctx-lh-caudalmiddlefrontal,3.09326676745457,3.00563248474115,2.9757757884894813
3,1001,ctx-lh-cuneus,3.0282542863462996,3.0168390092358397,2.9132326644152458
4,1001,ctx-lh-entorhinal,3.017960814163,3.11217298571392,2.9033301672802314
5,1001,ctx-lh-fusiform,2.4972675387802403,2.41555253206832,2.4024142881792674
6,1001,ctx-lh-inferiorparietal,2.84337547608195,2.8479129912766097,2.735376071774154
7,1001,ctx-lh-inferiortemporal,2.58543017424261,2.5418699913942997,2.4872282585806085
8,1001,ctx-lh-isthmuscingulate,3.13379075011954,2.98931795790954,3.0147605562231803
9,1001,ctx-lh-lateraloccipital,2.4408423154110803,2.417716559139,2.348132253623215
10,1001,ctx-lh-lateralorbitofrontal,3.23317858387839,3.0596401526055597,3.1103733602922516
11,1001,ctx-lh-lingual,2.7033333208620203,2.71165827458422,2.6006531118096365
12,1001,ctx-lh-medialorbitofrontal,2.95115979829081,2.8412689045891,2.839066442026899
13,1001,ctx-lh-middletemporal,3.0196353617997,2.98870395544657,2.9049411108840597
14,1001,ctx-lh-parahippocampal,2.26308326317361,2.20035826589343,2.1771249905579646
15,1001,ctx-lh-paracentral,2.95574762628531,2.9069386435839997,2.8434800114000383
16,1001,ctx-lh-parsopercularis,3.21833897759935,3.0932851499252796,3.0960974040312195
17,1001,ctx-lh-parsorbitalis,3.28614315382334,2.9331882325788796,3.1613261867824267
18,1001,ctx-lh-parstriangularis,3.41182284639381,3.32855461915502,3.2822322108573454
19,1001,ctx-lh-pericalcarine,3.45320232572874,3.34045445148518,3.3220399810893686
20,1001,ctx-lh-postcentral,2.92446109373147,2.82525127088556,2.8133818294200488
21,1001,ctx-lh-posteriorcingulate,3.11091894159778,2.96481036804254,2.992757483370194
22,1001,ctx-lh-precentral,2.9426229534443302,2.89990161160022,2.8308538505777783
23,1001,ctx-lh-precuneus,3.1722812507687004,3.13145146323913,3.0517890793120115
24,1001,ctx-lh-rostralanteriorcingulate,3.4691081974514,3.3462666836920296,3.3373417030310746
25,1001,ctx-lh-rostralmiddlefrontal,3.12256781822473,3.06682059739809,3.0039639028728047
26,1001,ctx-lh-superiorfrontal,2.97053170557855,2.93190618303441,2.857702549746492
27,1001,ctx-lh-superiorparietal,2.87071020872163,2.8294582965875095,2.7616725543245195
28,1001,ctx-lh-superiortemporal,3.13941801466582,3.02162105729486,3.0201740814219864
29,1001,ctx-lh-supramarginal,2.9061107373613297,2.87847130801706,2.795728471238674
30,1001,ctx-lh-frontalpole,2.28914253624811,2.28682094833152,2.202194459087685
31,1001,ctx-lh-temporalpole,2.8886013142713702,3.1936978459324106,2.7788841053243822
32,1001,ctx-lh-transversetemporal,3.5016003823103703,3.32769672441993,3.3685997432478945
33,1001,ctx-lh-insula,3.28892028765386,3.2235832693766295,3.163997837252799
34,1001,ctx-rh-bankssts,3.01587810576565,3.0243562439552796,2.9013265660103618
35,1001,ctx-rh-caudalanteriorcingulate,2.8978930209810096,2.86104864562061,2.7878228868582644
36,1001,ctx-rh-caudalmiddlefrontal,3.1254833410618197,3.06699598434214,3.0067686859457305
37,1001,ctx-rh-cuneus,2.87130921023943,2.79804158812343,2.7622488040785638
38,1001,ctx-rh-entorhinal,2.96991233575561,2.7898753504461498,2.857106705332871
39,1001,ctx-rh-fusiform,2.5828237230038704,2.4839883426076,2.484720807696732
40,1001,ctx-rh-inferiorparietal,2.8526686270062704,2.8434260025366003,2.744316242667377
41,1001,ctx-rh-inferiortemporal,2.4776713297011,2.42651934618483,2.383562398281692
42,1001,ctx-rh-isthmuscingulate,2.74548462495601,2.7238656449933702,2.641203390723786
43,1001,ctx-rh-lateraloccipital,2.7132235706245202,2.6212791555655803,2.610167702046412
44,1001,ctx-rh-lateralorbitofrontal,3.0675982835468902,3.0103449718897797,2.951082265854005
45,1001,ctx-rh-lingual,2.6238111181500097,2.5253333242064397,2.524151386201121
46,1001,ctx-rh-medialorbitofrontal,3.04574965328057,2.96941953540846,2.9300635080662065
47,1001,ctx-rh-middletemporal,2.98688161635376,2.78583186982394,2.8734314448876206
48,1001,ctx-rh-parahippocampal,2.48614221924571,2.2956932751849397,2.3917115395969635
49,1001,ctx-rh-paracentral,2.8722479424380998,2.83589215210077,2.7631518805859208
50,1001,ctx-rh-parsopercularis,3.1853200380520295,3.1691975833719903,3.064332616751858
51,1001,ctx-rh-parsorbitalis,3.10668572702829,2.81660066241562,2.9886850582059936
52,1001,ctx-rh-parstriangularis,3.1428389663071297,3.12511878392641,3.0234650956904323
53,1001,ctx-rh-pericalcarine,3.2337346298171004,3.2574982387562597,3.110908286041013
54,1001,ctx-rh-postcentral,2.902914990956,2.8126562170987404,2.7926541082774214
55,1001,ctx-rh-posteriorcingulate,3.2131350775960805,3.1797700519989105,3.0910911627983646
56,1001,ctx-rh-precentral,2.93766923105811,2.84714987046315,2.826088284511861
57,1001,ctx-rh-precuneus,3.1445977092007404,3.05544376673969,3.0251570365783143
58,1001,ctx-rh-rostralanteriorcingulate,3.27187318869786,3.26899402311339,3.1475982351004785
59,1001,ctx-rh-rostralmiddlefrontal,2.90559695336075,2.85974336142661,2.7952342022006698
60,1001,ctx-rh-superiorfrontal,2.9084019884805,2.89665188989547,2.7979326941907687
