,tts,1001,1002,1003,1004,1005,1007,1009,1013,1015,1020,1022,1023,PP,MM,FR,KT,JD,PP-r,MM-r,FR-r,KT-r,JD-r
20,300,9.06562991565454,7.349716997596925,7.7069965113539,8.341016050943775,12.277986311741,4.97254231707357,7.32634058506028,8.392217794420056,6.8762042574,7.431525987,13.061306853,7.2467996218,7.133858209666778,7.637084019360678,10.891871567677695,9.071123741462802,8.397330286583923,6.169623198436507,10.123361107622769,7.459734025099076,9.5826528407772,9.127479959093499
21,315,8.51749851659008,6.85872452870951,6.99960197243351,7.89531971775467,11.6991436500944,4.64697903303133,6.85810633540444,7.893614114679121,6.4676709198,7.019052799,12.3920569429,6.8300055745,6.68810049454967,7.193393486709158,10.512613756889154,8.551050716708215,7.903249521292406,5.782721949125722,9.616824489629888,7.040642199166311,9.033453639266202,8.547996198563794
22,330,8.04550759805111,6.4591257194849,6.35605556592661,7.680472265965791,11.1718823903701,4.36073543036223,6.44338851034114,7.395010434938185,6.0591375822,6.6415167835,11.7228070328,6.4497248956,6.326554639153008,6.749702954057637,10.180877065599534,8.100572146974283,7.40916875600089,5.46835030419653,9.146424939600644,6.670817323932924,8.537003491465619,8.308037558582779
23,345,7.61777008023865,6.10976972296601,5.77070048780715,7.465624814176912,10.6902192026684,4.10880528016026,6.07537729429841,6.89640675519725,5.6506042446,6.2958180582,11.173860311,6.1025107284,5.999949761329724,6.366293574982177,9.888612016089343,7.709872794353602,7.00824078976811,5.184164868853922,8.709383712740241,6.342800433188787,8.088016105377493,8.068078918601763
24,360,7.22999515077575,5.80396700033255,5.23837606701567,7.250777362388033,10.2489402915988,3.88684001892317,5.74822830736221,6.54152627146347,5.3598312031,5.9790628402,10.6906932352,5.7853044775,5.704642689487893,6.018025658721407,9.629127790761617,7.370534586270679,6.64589105734823,4.927067347435383,8.303182366133008,6.050407066865772,7.681735072444096,7.828120278620747
25,375,6.87830653397537,5.53591972508205,4.75437353050899,7.035929910599155,9.84349840876436,3.69105343679251,5.45687894995856,6.22953565489663,5.1042001818,5.6885102077,10.2643275142,5.4953668327,5.437365224946658,5.701559080753535,9.39687872068208,7.075337021451456,6.31810390008948,4.694274684940585,7.925520439339514,5.788498892982553,7.313881000908251,7.588161638639732
26,390,6.55920216639609,5.3006030861088,4.31439592156284,6.821082458810276,9.46992383665663,3.51814425972189,5.1969174823769,5.95477300764119,4.8790720772,5.42151095,9.8870142292,5.2302300468,5.195185878684472,5.413868971209605,9.187281966908063,6.818086097129976,6.02129102023048,4.483287558828563,7.574285463463674,5.552796748390144,6.980603876661794,7.348202998658716
27,405,6.26951819122543,5.09366235911652,3.91452176408844,6.606235007021397,9.12474744179226,3.36523159213306,4.96448519121326,5.71231904926001,4.6804162533,5.1754455792,9.5520662352,4.9876627271,4.975475599343777,5.152215929828758,8.996561619226254,6.593467691328601,5.75224154938304,4.291861954219061,7.2475307620232625,5.339727600551541,6.678440143989034,7.108244358677701
28,420,6.00639654731089,4.91132365792944,3.55117210325639,6.391387555232518,8.80493415418871,3.22980012809037,4.75620000200396,5.49790072237708,4.5047315596,4.9476855952,9.2537137292,4.7656423185,4.775877061491886,4.914119081345115,8.821615422878905,6.396921910995093,5.50808010870891,4.117983528429502,6.943458269580814,5.14629928556918,6.404274045882826,6.868285718696685
29,435,5.76725569447224,4.75031655250492,3.22108058745943,6.176540103443639,8.50782545420382,3.10965312238092,4.56909458329701,5.30780736129302,4.3489776444,4.7356279971,8.986979491,4.5623325899,4.594277129481201,4.6973316955506,8.65990108149019,6.2245354124984535,5.28623074267828,3.9598444979232528,6.660404664349579,4.969997985087861,6.155302806965232,6.628327078715669
30,450,5.54976413465107,4.60780697972382,2.92126628884544,5.96169265165476,8.23108964115669,3.00287173379709,4.4005647176894,5.13881768981381,4.2105151394,4.5368637267,8.7475710045,4.3760645936,4.428782153406374,4.499819124880982,8.50933961384957,6.072949126767941,5.08438539772049,3.8158228054584336,6.396829761424223,4.808704312177262,5.929005281674826,6.388368438734654
31,465,5.35181644879435,4.48133908097539,2.64900898948855,5.746845199865881,7.97267882516534,2.90777972250212,4.24832530723272,4.98813621350967,4.0870535427,4.3494784263,8.531787143,4.2053201986,4.277695790696468,4.31973883687262,8.368233611937228,5.939279186962907,4.90047607449134,3.6844633477552335,6.151306509120037,4.660624620639184,5.723113726514321,6.148409798753638
32,480,5.17151160648397,4.36878478120562,2.40182668785403,5.531997748077002,7.73079172786968,2.82291271452064,4.11037231490104,4.85333778699621,3.9766057997,4.1723306148,8.3364374438,4.0487176438,4.13949908036464,4.155422340547835,8.235198506557671,5.821049170406583,4.73265005236993,3.564461064529916,5.922512172298704,4.52423476313105,5.535588388026472,5.908451158772623
33,495,5.00713333231025,4.26830008099799,2.1774551056243,5.317150296288123,7.50384150226182,2.74699139973513,3.98494949968431,4.73231930576291,3.8774487215,4.0050674116,8.1587722842,3.9049987422,4.01283252722305,4.005358825258067,8.10910513789036,5.716132035866688,4.57924774813346,3.454645708438989,5.709220434233783,4.398234025148194,5.364594628027478,5.6684925187916075
34,510,4.85713233490192,4.17828716949371,1.97382899824186,5.102302844499244,7.29042788940206,2.67889813800911,3.87051914077071,4.62325761150408,3.7880884946,3.8478187119,7.9964224968,3.7730174781,3.896479980719089,3.8681803480506,7.989032083570214,5.622700368377642,4.43878287300485,3.35396813248871,5.510294239338105,4.321732071630184,5.208482334715196,5.428533878810591
35,525,4.7201102233905,4.09736158423029,1.78906509373759,4.887455392710366,7.08931312267603,2.61765652904549,3.76573615778312,4.52457281817957,3.7072306317,3.7059038908,7.8473471605,3.6517297982,3.789354117670556,3.742648421442997,7.874226337641885,5.539183742061627,4.30992461902176,3.261487946933729,5.324679255258024,4.2452301181121745,5.065767392814443,5.188575238829576
36,540,4.59480495277883,4.02432374663382,1.62144650360421,4.672607940921487,6.89940107044994,2.56241356520291,3.66942517120955,4.43489636776761,3.6337537981,3.5639890697,7.7097884728,3.540184436,3.6904833602513545,3.627641867767321,7.76614283927225,5.464232181456926,4.1914816514184,3.1763624117457203,5.151397867970616,4.168728164594165,4.935115008142216,4.9486165988485595
37,555,4.48007765463185,3.95813429098919,1.46940846671477,4.457760489132608,6.71971917723688,2.51242403833787,3.58056013966016,4.35304321279924,3.5666870195,3.4371698226,7.5822327536,3.4375146422,3.5990000802680018,3.5221458191377506,7.658059340902616,5.396684847691176,4.08238771669417,3.0978364434993044,4.989543645809055,4.092226211076156,4.8920756510815835,4.708657958867544
38,570,4.37490072297161,3.89789268201596,1.33152530266482,4.242913037343729,6.636051267899782,2.46703691510077,3.501132063190635,4.27798759937811,3.5051898395,3.3198687553,7.4633767575,3.3429307054,3.514129958226293,3.4252417537377178,7.555772755065726,5.370900243572886,3.98168870101887,3.0252336271113607,4.838276222769983,4.015724257558146,4.849036294020951,4.468699318886529
39,585,4.27834703741734,3.8428186832468,1.2988836911712693,4.02806558555485,6.552383358562683,2.4492388633332975,3.42170398672111,4.20884199112775,3.4485350508,3.2114937821,7.3520985802,3.2557131736,3.4351823810734983,3.336098469639016,7.456864225915708,5.345115639454596,3.88853099337187,2.957948133384123,4.70135939105613,3.939222304040136,4.805996936960318,4.228740678905513
40,600,4.18958021660875,3.79418926358243,1.266242079677719,3.91748274494066,6.468715449225585,2.4314408115658255,3.35025463088081,4.14483873271018,3.3960936713,3.1728617015729728,7.2474325408,3.1752066934,3.3639210851468566,3.2539639068656108,7.361044079388057,5.3193310353363055,3.80215102399534,2.8975819991734877,4.564442559342276,3.8627203505221264,4.762957579899685,3.9887820389244975
41,615,4.11102176050429,3.74555984391806,1.2336004681841684,3.81273219613151,6.385047539888487,2.413642759798353,3.315243865503985,4.08531410235775,3.3473218774,3.1342296210459457,7.148547503,3.1008144008,3.292659789220215,3.1810142771200063,7.268068895270531,5.293546431218015,3.724607897351555,2.837215864962853,4.440484978175311,3.7862183970041166,4.719918222839052,3.951745476194292
42,630,4.03246330439983,3.70228190533263,1.2009588566906177,3.71343063291043,6.30137963055139,2.395844708030881,3.28023310012716,4.02969444722019,3.3017496439,3.0955975405189187,7.05472817,3.0319928052,3.2280482294937607,3.108064647374402,7.177732560689733,5.267761827099725,3.64706477070777,2.7828485698524497,4.324323657021072,3.7097164434861067,4.676878865778419,3.9147089134640862
43,645,3.96281897237919,3.66196286665553,1.1683172451970674,3.61922759321759,6.217711721214291,2.3780466562634084,3.245222334750335,3.97748413408391,3.2589708712,3.0569654599918916,6.996354063794872,2.9682471164,3.1951800648833886,3.043128253938482,7.089859108373081,5.2419772229814345,3.612787954735653,2.7561342692612163,4.275891440974713,3.6332144899680974,4.633839508717786,3.8776723507338806
44,660,3.89835931195465,3.62422186170277,1.1356756337035168,3.52980149516098,6.134043811877193,2.3602486044959363,3.21021156937351,3.92825508189056,3.218634809,3.0183333794648646,6.937979957589743,2.943203605694595,3.162311900273017,2.982845583147952,7.0042969890148425,5.216192618863145,3.578511138763536,2.729419968669983,4.227459224928355,3.5567125364500876,4.590800151657153,3.840635788003675
45,675,3.838585190103,3.601625473429796,1.1030340222099662,3.44485628910476,6.050375902540095,2.342450552728464,3.175200803996685,3.89850705857405,3.194260622154054,2.9797012989378375,6.879605851384615,2.9181600949891893,3.1294437356626448,2.926762069043992,6.920914492674367,5.190408014744855,3.5442343227914193,2.7027056680787496,4.179027008881996,3.480210582932078,4.54776079459652,3.8035992252734694
46,690,3.78304652364191,3.5790290851568223,1.0703924107164158,3.3641186184984,5.966707993202997,2.3246525009609917,3.14019003861986,3.86875903525754,3.169886435308108,2.9410692184108105,6.821231745179487,2.893116584283784,3.0965755710522727,2.9002236978891416,6.839596088802201,5.1646234106265645,3.509957506819302,2.675991367487516,4.1305947928356375,3.4037086294140684,4.504721437535888,3.766562662543264
47,705,3.7313374791254,3.5564326968838484,1.0377507992228652,3.3230636175363837,5.8830400838658985,2.3068544491935192,3.105179273243035,3.8390110119410292,3.145512248462162,2.9024371378837834,6.762857638974359,2.8680730735783784,3.0637074064419005,2.8736853267342912,6.760239499536207,5.138838806508274,3.4756806908471853,2.649277066896283,4.082162576789279,3.3272066758960586,4.4616820804752555,3.729526099813058
